	Family	Substrate
1	CBM1	Binding
2	CBM2	Binding
3	CBM3	Binding
4	CBM4	Binding
5	CBM6	Binding
6	CBM8	Binding
7	CBM10	Binding
8	CBM13	Binding
9	CBM15	Binding
10	CBM16	Binding
11	CBM22	Binding
12	CBM23	Binding
13	CBM27	Binding
14	CBM29	Binding
15	CBM30	Binding
16	CBM31	Binding
17	CBM35	Binding
18	CBM36	Binding
19	CBM37	Binding
20	CBM39	Binding
21	CBM42	Binding
22	CBM43	Binding
23	CBM44	Binding
24	CBM46	Binding
25	CBM47	Binding
26	CBM49	Binding
27	CBM51	Binding
28	CBM54	Binding
29	CBM56	Binding
30	CBM62	Binding
31	CBM63	Binding
32	CBM64	Binding
33	CBM67	Binding
34	CBM72	Binding
35	CBM76	Binding
36	CBM78	Binding
37	CBM80	Binding
38	AA9	Cellulose
39	AA10	Cellulose
40	AA15	Cellulose
41	AA16	Cellulose
42	GH1	Cellulose
43	GH2	Cellulose
44	GH3	Cellulose
45	GH5	Cellulose
46	GH5_1	Cellulose
47	GH5_2	Cellulose
48	GH5_4	Cellulose
49	GH5_5	Cellulose
50	GH5_25	Cellulose
51	GH5_37	Cellulose
52	GH5_38	Cellulose
53	GH5_43	Cellulose
54	GH5_46	Cellulose
55	GH5_52	Cellulose
56	GH5_53	Cellulose
57	GH5_55	Cellulose
58	GH6	Cellulose
59	GH7	Cellulose
60	GH8	Cellulose
61	GH9	Cellulose
62	GH10	Cellulose
63	GH12	Cellulose
64	GH30	Cellulose
65	GH30_1	Cellulose
66	GH30_6	Cellulose
67	GH39	Cellulose
68	GH44	Cellulose
69	GH45	Cellulose
70	GH48	Cellulose
71	GH51	Cellulose
72	GH74	Cellulose
73	GH116	Cellulose
74	GH124	Cellulose
75	GH131	Cellulose
76	GH148	Cellulose
77	AA14	Hemicellulose
78	CE1	Hemicellulose
79	CE2	Hemicellulose
80	CE3	Hemicellulose
81	CE4	Hemicellulose
82	CE5	Hemicellulose
83	CE6	Hemicellulose
84	CE7	Hemicellulose
85	CE12	Hemicellulose
86	CE16	Hemicellulose
87	CE20	Hemicellulose
88	GH4	Hemicellulose
89	GH5_7	Hemicellulose
90	GH5_8	Hemicellulose
91	GH5_9	Hemicellulose
92	GH5_10	Hemicellulose
93	GH5_13	Hemicellulose
94	GH5_14	Hemicellulose
95	GH5_17	Hemicellulose
96	GH5_18	Hemicellulose
97	GH5_19	Hemicellulose
98	GH5_21	Hemicellulose
99	GH5_22	Hemicellulose
100	GH5_31	Hemicellulose
101	GH5_34	Hemicellulose
102	GH5_35	Hemicellulose
103	GH5_36	Hemicellulose
104	GH5_40	Hemicellulose
105	GH5_41	Hemicellulose
106	GH5_44	Hemicellulose
107	GH5_45	Hemicellulose
