	KO	Substrate
1	K01179	Cellulose
2	K19357	Cellulose
3	K20542	Cellulose
4	K01225	Cellulose
5	K19668	Cellulose
6	K20829	Cellulose
7	K18578	Cellulose
8	K01188	Cellulose
9	K05349	Cellulose
10	K05350	Cellulose
11	K19356	Cellulose
12	K22032	Cellulose
13	K22033	Cellulose
14	K19069	Cellulose
15	K00702	Cellulose
16	K01811	Hemicellulose
17	K15925	Hemicellulose
18	K01190	Hemicellulose
19	K12111	Hemicellulose
20	K12308	Hemicellulose
21	K12309	Hemicellulose
22	K01206	Hemicellulose
23	K15923	Hemicellulose
24	K18576	Hemicellulose
25	K01181	Hemicellulose
26	K13465	Hemicellulose
27	K01198	Hemicellulose
28	K15920	Hemicellulose
29	K22268	Hemicellulose
30	K01209	Hemicellulose
31	K15921	Hemicellulose
32	K20844	Hemicellulose
33	K01235	Hemicellulose
34	K09252	Hemicellulose
35	K21016	Hemicellulose
36	K01218	Hemicellulose
37	K19355	Hemicellulose
38	K01192	Hemicellulose
39	K01189	Hemicellulose
40	K07406	Hemicellulose
41	K07407	Hemicellulose
42	K01216	Hemicellulose
43	K25108	Hemicellulose
44	K01199	Hemicellulose
45	K19891	Hemicellulose
46	K19892	Hemicellulose
47	K19893	Hemicellulose
48	K01180	Hemicellulose
49	K05972	Hemicellulose
50	K00421	Lignin
51	K05909	Lignin
52	K23515	Lignin
53	K20205	Lignin
54	K20929	Lignin
55	K23272	Lignin
56	K01051	Pectin
57	K01184	Pectin
58	K01213	Pectin
59	K22933	Pectin
60	K18580	Pectin
61	K15532	Pectin
62	K01728	Pectin
63	K19551	Pectin
64	K22539	Pectin
65	K01730	Pectin
66	K01731	Pectin
67	K22994	Pectin
68	K01732	Pectin
69	K18195	Pectin
70	K18197	Pectin
71	K18198	Pectin
